id,Title,Content,Categories
309,13 yrs. Grade 8,"My now 13-year-old has exhibited school refusal since kindergarten. Not just protest, but full-on-won't-leave-his-bed-refusal. No punishment or withdrawal of privileges has ever helped. I wish we could homeschool, but his father (my ex) won't agree to it, and, frankly, I'm not equipped for it. I have tried and continue to try all the resources and don't know what else to do. My son is steadfastly unreceptive to therapy. He is also unresponsive to traditional discipline/withdrawal of privileges, etc.",Elementary School
310,13 yrs. Grade 7,"For our family, anxiety and school refusal followed years of our child’s being sent to the hall or the principal's office for not sitting still in his seat or for being a distraction to the others in class. Even after having assessments done and recommendations from the psychologist for accommodations for ADHD and LDs, he was seated at his desk with no writing tools and his desk turned backwards, so he couldn't have anything at his desk at all. Little was done to address the LDs until it was too late. His self-confidence tanked, and he just believed he was stupid. He finally reached a point where he couldn't do it anymore and threatened to jump in front of a bus if we made him go back to school.",Elementary School
311,6 yrs. Grade 1,"My daughter would love to play and learn like the other kids she knows, but when the bus rolls up, she shakes with fear. She will go to the stairs of the bus and look at me; I will tell her she can do it; and then she will begin to shake her head ""no""; and this might turn into her running back to the house or hiding in a bush...anywhere, until the bus driver tells me they can't wait any longer. Driving her doesn't work either....she wants to go but then says she can't. It is like watching a child learning to jump into a pool. Some just do it, and others overthink it and hesitate and talk themselves out of it. School refusal in our house means I cannot work outside of my home. I might even lose my home business. It means chaos and uncertainty. For my daughter, staying home means safety. She can make her own choices, and she knows how the day will go. People laugh at me and say, ""You can't get your kid to school? What's the matter with you?"" Words sting. My self-esteem is low; my confidence in parenting is shaken. I've dealt with this from JK to grade 1: 3 years. We don't have any solutions.",Elementary School
312,8 yrs. Grade 3,"After many negative experiences with my child’s school staff, the psychologist said to me in one of the meetings, “It takes a village to raise a child.” I responded, “You are not part of my village.” When the school system is not part of the solution, but part of the oppression with aggressive policies, the school system is PART OF THE PROBLEM... therefore, you are not part of my village.",Elementary School
313,10 yrs. Grade 5,"Our daughter loves learning and is a strong student but, over the years, her anxiety has become so linked with the over-stimulating school environment that she can't even do schoolwork at home it is so stressful for her. In our entire region, there does not exist a program that she is eligible for, where she could attend school in a small classroom environment, with only a handful of other kids. This is how I see her being the most successful. There are also huge holes in the public health and school systems in terms of programming. Early on, she wasn't eligible for any of the specialized programs offered through [redacted], or private programs, because they ""only work with students whose academics are affected by their disorders"". Because she was strong academically, she didn't qualify. Over the years, though, she has attended school less and less due to anxiety. Her academics are certainly affected now; she has not attended enough school this year even to pass her grade. She wants to go to school, and recognizes it is important, but struggles with it so much. We have worked with many levels of support over the years - from psychiatrists, to psychologists, to inpatient programming, to behaviour consultants, to family support workers - yet here we still are, in a situation where our bright, creative, nurturing daughter does not attend school. She feels shame, guilt, and depression, and questions what the point of living is. If you could see with your own eyes what she struggles with on a daily basis, you wouldn't doubt for a moment what a critical issue this is, because our daughter is only one of many. And the impact of school refusal reaches beyond her. I have been off work now for two years to support her. I was a contractor before so there are no unemployment benefits that I can access, and no funding for parents in our situation. My husband has had to get a second job, beyond the full-time job he already has. The emotional impact of trying to support our daughter has taken a significant mental and physical toll on me, and our home environment is very challenging, as we all (my husband and I also have a son) cope with the fallout of her anxiety and school refusal.",Elementary School
314,9 yrs. Grade 3,"My son would refuse to go to school and tell us he’s stupid and he hated himself and wished he was dead. The school and division had no supports for him and refused to have a psych consult for his reading. Six days before his diagnosis, the Inclusion Coach told us, “He’s just not ready to learn to read yet.” Then he was diagnosed as dyslexic. We moved him out of [redacted], despite the school saying he could do it. His anxiety has improved, and he no longer wishes to die, but every day he knows he’s not getting what he needs. He’s smart and knows he is smart enough, but no one teaches to his brain.",Elementary School
315,12 yrs. Grade 7,"Up until his grade 5 year, my son loved school. However, in grade 5, his teacher did not comprehend that he was not a ‘typical’ grade 5 student. Despite my providing her with information about his LDs, ADHD, executive functioning issues, and his learning needs, she felt he should be able to remember his homework, start his work independently, etc. She also felt she could not continue to follow through on a learning program (that we had paid for and he was successful in) and its basic recommendations, despite my offering to do the “extra work” with him at home if she started it at school. She felt it was giving him too much one-on-one time. Grade 6 started out much better, but halfway through, my son truly realized how far behind his peers he was and started hating school and refusing to go some days. His teacher was much more accommodating for him, and I do think this helped a lot. She was willing to research his ASD and dyslexia, etc., and make things easier for him, while still having certain expectations of him. This year (grade 7) he started at a private school designed specifically for kids with LDs and ADHD. He is much happier there because he feels accepted and supported more. It also helps that “everyone is just like him”, and everyone has supports of some kind, so he doesn’t feel like he stands out anymore.",Elementary School
316,10 yrs. Grade 5,My daughter has a [redacted] disease that causes low immunity and weekly infusions in hospital. This is a critical and complex disease that will not go away until she receives a transplant. She is struggling to find routine and normalcy. She has been diagnosed with separation anxiety and does not want to be away from home. This leads to refusal to attend school.,Elementary School
317,10 yrs. Grade 5,"My child missed half a school year in kindergarten. Five days a week for 6 hours for a 5-year-old is too much. From kindergarten to grade 3, every morning was a fight...always too tired. Coming home with timed math test with results 2 out of 20 correct was devastating for my daughter's confidence. Why in god's name are 8-year-olds undergoing timed math tests that stress them out so much they refuse to go to school?",Elementary School
318,9 yrs. Grade 3,"My child was always anxious about school. He has a learning difference. When he couldn't do things, he attracted attention by acting silly. He started getting into trouble; this made him more anxious. There was downward spiral. The school did not recognize his learning disability. They thought he was purposefully choosing not to do his work. The more they pushed for compliance, the more anxious he became. He started experiencing physical symptoms. He would willingly go to school each day, but when he got there, he was unable to do what they asked, so they sent him home. We went to a psychologist who recommended homeschooling. We saw a psychiatrist who said to enroll him in a school that will attend to his learning disability. There is no school near us for special education. We have no choice but to educate at home.",Elementary School
